,Name,Sector,Company stage,HQ location,homepage_url,category_list,city
46146,Wistia, Video Streaming ,Seed/Startup,USA,http://wistia.com,|Internet Marketing|Video|Video Streaming|,Cambridge
45352,Warp 9, E-Commerce ,Seed/Startup,USA,http://www.warp9inc.com,|E-Commerce|,Santa Barbara
21555,JustFoodForDogs, Pets ,Seed/Startup,USA,http://justfoodfordogs.com,|Pets|,West Hollywood
24487,Mango Games, Games ,Seed/Startup,IND,http://www.mangogames.com,|Games|,Hyderabad
12504,Edison Pharmaceuticals, Biotechnology ,Seed/Startup,USA,http://edisonpharma.com/Home.aspx,|Biotechnology|,Mountain View
25113,Medisyn Technologies, Biotechnology ,Seed/Startup,USA,http://www.medisyntech.com,|Biotechnology|,Minnetonka
31437,Placed, Mobile ,Seed/Startup,USA,http://www.placed.com,|Mobile|,Seattle
20449,Internet college internation S.L., Software ,Seed/Startup,ESP,http://www.i-college.es,|Software|,Marbella
26367,MoFuse, Publishing ,Seed/Startup,USA,http://www.mofuse.com,|Publishing|Mobile|,Providence
30384,Parrable, Advertising ,Seed/Startup,USA,http://www.parrable.com,|Advertising|Big Data|B2B|Mobile|,New York
14533,FeedHenry, PaaS ,Seed/Startup,USA,http://www.feedhenry.com,|PaaS|Mobile|Cloud Computing|Web Development|SaaS|Enterprise Software|,Burlington
6986,Cardinal Midstream, Clean Technology ,Seed/Startup,USA,http://cardinalmidstream.com,|Clean Technology|,Dallas
1731,Alces Technology, Hardware + Software ,Seed/Startup,USA,http://alcestech.com,|Hardware + Software|,Rapid City
35061,Rostima, Software ,Seed/Startup,GBR,http://www.rostima.com,|Software|,Maidenhead
17849,HappyFactory, Education ,Seed/Startup,KOR,http://i-note.kr,|Education|,Seoul
26142,Mobile Content Networks, Mobile ,Seed/Startup,USA,http://www.mcn-inc.com,|Mobile|,San Mateo
13511,eSentire, Web Hosting ,Seed/Startup,CAN,http://www.esentire.com,|Web Hosting|,Cambridge
12470,edenes, Social Media ,Seed/Startup,ESP,http://www.edenes.com,|Fashion|E-Commerce|Social Buying|Social Network Media|Social Media|,Barcelona
23834,LookTracker, Technology ,Seed/Startup,USA,http://www.looktracker.com,|Technology|Sales and Marketing|Analytics|,Point Pleasant Beach
35638,Sawerly, Photography ,Seed/Startup,SAU,http://www.sawerly.com,|Photography|Search|,Jeddah
18748,HowGood, Food Processing ,Seed/Startup,USA,http://howgood.com/,|Food Processing|,Brooklyn
19670,Indel Therapeutics, Biotechnology ,Seed/Startup,CAN,http://www.indeltherapeutics.com,|Biotechnology|,Vancouver
10414,CymaBay Therapeutics, Biotechnology ,Seed/Startup,USA,http://www.cymabay.com,|Biotechnology|,Hayward
20668,inZair, Privacy ,Seed/Startup,CHE,http://www.inzair.com,|Privacy|Online Scheduling|SMS|Messaging|,Plan-les-ouates
24351,Mailgun, Messaging ,Seed/Startup,USA,http://www.mailgun.net,|Services|Email|Messaging|,Mountain View
28259,Nihon Gigei,,Seed/Startup,JPN,http://gigei.jp/,,Tokyo
21985,Kidos, Kids ,Seed/Startup,USA,http://kidoscomputer.com,|Systems|Education|Kids|Games|,Brooklyn
3561,aTyr Pharma, Biotechnology ,Seed/Startup,USA,http://www.atyrpharma.com,|Biotechnology|,San Diego
44913,Vividolabs, Software ,Seed/Startup,USA,http://vividolabs.com,|Software|,Santa Clara
45950,Widgetlabs, Social Network Media ,Seed/Startup,DEU,http://widgetlabs.eu,|Social Network Media|Facebook Applications|Social Media|Social Media Marketing|App Stores|Services|Apps|Web Tools|Mobile|,Cologne
6109,Briabe Mobile, Mobile ,Seed/Startup,USA,http://briabemobile.com,|SMS|Advertising|App Marketing|Mobile|,Venice
13775,Everpurse, Mobile ,Seed/Startup,USA,http://everpurse.com,|Mobile|,Chicago
19897,Ingenious Med, Health Care ,Seed/Startup,USA,http://www.ingeniousmed.com,|Health Care|,Atlanta
3423,Asymchem Laboratories (Tianjin), Medical ,Seed/Startup,USA,http://www.asymchem.com,|Medical|,Morrisville
35097,RoverTown, Colleges ,Seed/Startup,USA,http://www.rovertown.com,|Loyalty Programs|Universities|Colleges|Mobile|Coupons|Discounts|Advertising|,St Louis
28447,Nora Therapeutics, Biotechnology ,Seed/Startup,USA,http://www.noratherapeutics.com,|Biotechnology|,Palo Alto
21921,KeyOn Communications Holdings, Public Relations ,Seed/Startup,USA,http://www.keyon.com,|Public Relations|,Omaha
21410,JooMah Inc.,,Seed/Startup,,http://joomah.com,,
38285,Songvice,,Seed/Startup,NLD,http://www.songvice.com,,Amsterdam
33784,Real Food Real Kitchens, Travel ,Seed/Startup,,http://www.realfoodrealkitchens.com,|Travel|E-Commerce|Events|Media|Publishing|Music|Content|Television|Photography|,
1644,aitainment, Games ,Seed/Startup,DEU,http://www.aitainment.de,|Games|,Bremen-vegesack
7260,Catalog Spree, Retail ,Seed/Startup,USA,http://www.catalogspree.com,|Mobile|Retail|E-Commerce|,Los Altos
2908,Apttus, Software ,Seed/Startup,USA,http://www.apttus.com,|CRM|SaaS|Software|,San Mateo
36049,Securens, Security ,Seed/Startup,IND,http://securens.in,|Security|,Mumbai
42163,Totally Interactive Weather, News ,Seed/Startup,USA,http://totallyinteractiveweather.com,|News|,Beaver Creek
8277,Cldi Inc., Computer Vision ,Seed/Startup,KOR,http://www.cldi.io,|Computer Vision|,Seoul
24458,Managed Methods, Software ,Seed/Startup,USA,http://managedmethods.com,|Software|,Boulder
32598,PromoFarma.com, Marketplaces ,Seed/Startup,ESP,http://www.PromoFarma.com,|Marketplaces|Beauty|Health and Wellness|E-Commerce|,Barcelona
33229,Quantifind, SaaS ,Seed/Startup,USA,http://quantifind.com,|SaaS|Analytics|Software|,Menlo Park
30380,Parkzzz, Hospitality ,Seed/Startup,USA,,|Hospitality|,Huntersville
1539,AiCuris, Biotechnology ,Seed/Startup,,http://www.aicuris.com,|Biotechnology|,
2748,Applied MicroStructures, Manufacturing ,Seed/Startup,USA,http://www.appliedmst.com,|Manufacturing|,San Jose
2055,Altruja, Nonprofits ,Seed/Startup,DEU,http://www.altruja.de,|Nonprofits|,Munich
26320,Model Metrics, Software ,Seed/Startup,USA,http://www.modelmetrics.com,|CRM|Software|,Chicago
24328,Magnus Life Science, Biotechnology ,Seed/Startup,,http://www.magnuslifescience.co.uk,|Biotechnology|,
15202,flyRuby.com, Curated Web ,Seed/Startup,USA,http://www.flyruby.com,|Curated Web|,Pittsburgh
28186,NextSpace, Curated Web ,Seed/Startup,USA,http://nextspace.us,|Curated Web|,Santa Cruz
35844,Scout Labs, Tracking ,Seed/Startup,USA,http://www.scoutlabs.com,|Tracking|Search|Brand Marketing|Social Media|Enterprise Software|,San Francisco
30155,PagPop, Mobile Payments ,Seed/Startup,BRA,http://www.pagpop.com.br,|Mobile Payments|Software|,Ribeirão Prêto
31586,PlayFirst, Games ,Seed/Startup,USA,http://www.playfirst.com,|iPhone|Mobile Games|Games|,San Francisco
9950,Crestock, E-Commerce ,Seed/Startup,CAN,http://www.crestock.com,|E-Commerce|,Toronto
1767,XXL,,ScaleUp/Mature,EU,,,
18949,Hypersoft Information Systems, Consulting ,Seed/Startup,DEU,http://hypersoft.com,|Consulting|,Munich
17290,Greenbox, Clean Technology ,Seed/Startup,USA,http://getgreenbox.com,|Clean Technology|,San Bruno
15180,Fly Taxi, Mobile ,Seed/Startup,HKG,http://flytaxi.me/,|Apps|Mobile|Automotive|Public Transportation|,
22524,Kybernesis, Games ,Seed/Startup,NOR,http://kybernesis.com,|Game|Games|,Trondheim
34513,Retroficiency, Clean Technology ,Seed/Startup,USA,http://retroficiency.com,|Energy Efficiency|Clean Technology|,Boston
22827,LEAF Commercial Capital, Finance ,Seed/Startup,USA,http://www.leafnow.com,|Finance|,Philadelphia
23787,Lolay, Mobile ,Seed/Startup,USA,http://www.lolay.com,|User Experience Design|Design|Web Development|Android|iPhone|iOS|Software|Mobile|,Brentwood
6264,Brownsburg PC 911, Consumer Electronics ,Seed/Startup,USA,,|Small and Medium Businesses|Consumer Electronics|,Brownsburg
21033,ivWatch, Hardware + Software ,Seed/Startup,USA,http://ivwatch.com,|Hardware + Software|,Williamsburg
7982,Cie Games, Games ,Seed/Startup,USA,http://www.ciegames.com,|Games|,Long Beach
10327,CustomerAdvocacy.com, Software ,Seed/Startup,GBR,http://www.customeradvocacy.com,|Gamification|Social Media Marketing|Software|,Edinburgh
41219,The Dolan Company, Publishing ,Seed/Startup,USA,http://www.thedolancompany.com,|Publishing|Legal|,Minneapolis
21793,Kaymu.pk, E-Commerce ,Seed/Startup,PAK,http://www.kaymu.pk,|E-Commerce|,Lahore
5421,BlitzLocal, Advertising ,Seed/Startup,USA,http://www.BlitzLocal.com,|Advertising|,Portland
36574,Shanghai Yimu Network Technology Co., Mobile ,Seed/Startup,,http://www.imoffice.com/,|Mobile|,
5862,Bostan Research, Transportation ,Seed/Startup,USA,,|Transportation|,Oceanside
287,Live Nation Entertainment,Communication Services,ScaleUp/Mature,USA,,,
24706,Massachusetts Life Sciences Center, Biotechnology ,Seed/Startup,USA,http://www.masslifesciences.com,|Biotechnology|,Waltham
34716,Right Media, Advertising ,Seed/Startup,USA,http://rightmedia.com,|Advertising|,New York
10300,Curiyo, Software ,Seed/Startup,ISR,http://curiyo.com,|Software|,Jerusalem
11967,DropShip, Supply Chain Management ,Seed/Startup,USA,http://www.dropship.com,|Enterprise Software|Supply Chain Management|SaaS|E-Commerce|Software|,American Fork
36922,Sian's Plan, Online Shopping ,Seed/Startup,GBR,http://www.siansplan.com,|Sustainability|Online Shopping|Hospitality|Groceries|Curated Web|,London
14624,Field Nation, Software ,Seed/Startup,USA,http://www.fieldnation.com,|Software|,Minneapolis
10509,Daily Deals for Moms, Consumers ,Seed/Startup,USA,http://dailydealsformoms.com/,|Advertising|Consumers|E-Commerce|,Denver
21570,Justyle, Fashion ,Seed/Startup,,http://justyle.org,|Fashion|,
2414,Anhui Anke Biotechnology (Group), Biotechnology ,Seed/Startup,CHN,http://www.ankebio.com,|Biotechnology|,Hefei
37940,Social Solutions, Enterprise Software ,Seed/Startup,USA,http://www.socialsolutions.com,|Enterprise Software|Software|,Baltimore
19748,InEnTec, Clean Technology ,Seed/Startup,USA,http://www.inentec.com,|Clean Technology|,Bend
45565,WebPT, Electronic Health Records ,Seed/Startup,USA,http://www.webpt.com,|Electronic Health Records|Software|,Phoenix
45985,Wild Pockets, Games ,Seed/Startup,USA,http://wildpockets.com,|Games|,Pittsburg
23295,LimeTray,,Seed/Startup,,http://limetray.com,,
